quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q3,2023-07-07,DA3m_PIB_monthly,2.20669071269827,TRUE,0.0205316732019283,0.0135686110297371,2.28848226420625
2023Q3,2023-07-07,DA3m_QSC,2.22142225726665,TRUE,0.0125453270648155,0.0133892450264941,3.79595048208462
2023Q3,2023-07-07,DA3m_REER_IPCA,2.21858057271617,TRUE,0.0099666399966035,0.0134235664103859,4.46543972147793
2023Q3,2023-07-07,DA3m_REER_USD,2.20119980445283,TRUE,0.00946991065730329,0.0136363894507624,4.47293946119175
2023Q3,2023-07-07,DA3m_RETAIL_SALES_US,2.20687521849724,TRUE,0.0150326569267909,0.0135663423171738,3.74679865407385
2023Q3,2023-07-07,DA3m_RE_Value,2.44892968642613,TRUE,0.010581300334235,0.0110170595127335,3.79751602071605
2023Q3,2023-07-07,DA3m_Retail_Sales,2.20209563781675,TRUE,0.0080279182705202,0.0136252968827149,4.25891772136419
2023Q3,2023-07-07,DA3m_Savings,2.44409924793819,TRUE,0.0125751156423985,0.0110606500639284,4.12282791914842
2023Q3,2023-07-07,DA3m_Selic,2.31640302928484,TRUE,0.00832081914944479,0.0123137428167717,3.77228663882913
2023Q3,2023-07-07,DA3m_Steel,2.25593772927413,TRUE,0.0133804587447526,0.0129826728032082,3.43078773822636
2023Q3,2023-07-07,DA3m_TRUCK_IMP_US,2.44721659237139,TRUE,0.0139054245708958,0.0110324891767977,3.77984915413404
2023Q3,2023-07-07,DA_AUTO_SALES_US,2.21516770400945,TRUE,0.0115842261433943,0.0134649611645442,3.11718081973604
2023Q3,2023-07-07,DA_BGS,5.20268718165033,FALSE,,,3.78674084640022
2023Q3,2023-07-07,DA_CAP_UTILI_US,2.30591392665818,TRUE,0.0142882220222288,0.0124260226996447,4.11758668645597
2023Q3,2023-07-07,DA_CONS_CONF_US,2.43487891246539,TRUE,0.000505767124668151,0.0111445770277738,3.36583514494326
2023Q3,2023-07-07,DA_CONS_SENTI_US,2.24954743295585,TRUE,0.0102785720784986,0.0130565374053079,3.6957811409707
2023Q3,2023-07-07,DA_CPI_US,2.20683888204139,TRUE,0.00908694886984632,0.0135667890709998,3.68028116246559
2023Q3,2023-07-07,DA_Credit,2.2853804208761,TRUE,0.0167433526647089,0.0126503144906757,3.75407560057734
