"date","series_code","value"
2010-12-01,"AUTO_SALES_US",12.605
2011-01-01,"AUTO_SALES_US",12.806
2011-02-01,"AUTO_SALES_US",13.081
2011-03-01,"AUTO_SALES_US",13.259
2011-04-01,"AUTO_SALES_US",13.326
2011-05-01,"AUTO_SALES_US",12.28
2011-06-01,"AUTO_SALES_US",11.886
2011-07-01,"AUTO_SALES_US",12.72
2011-08-01,"AUTO_SALES_US",12.604
2011-09-01,"AUTO_SALES_US",13.356
2011-10-01,"AUTO_SALES_US",13.73
2011-11-01,"AUTO_SALES_US",13.743
2011-12-01,"AUTO_SALES_US",13.798
2012-01-01,"AUTO_SALES_US",14.395
2012-02-01,"AUTO_SALES_US",14.975
2012-03-01,"AUTO_SALES_US",14.594
2012-04-01,"AUTO_SALES_US",14.769
2012-05-01,"AUTO_SALES_US",14.496
2012-06-01,"AUTO_SALES_US",14.467
2012-07-01,"AUTO_SALES_US",14.38
2012-08-01,"AUTO_SALES_US",14.444
2012-09-01,"AUTO_SALES_US",15.099
2012-10-01,"AUTO_SALES_US",14.83
2012-11-01,"AUTO_SALES_US",15.456
2012-12-01,"AUTO_SALES_US",15.462
2013-01-01,"AUTO_SALES_US",15.813
2013-02-01,"AUTO_SALES_US",15.861
2013-03-01,"AUTO_SALES_US",15.721
2013-04-01,"AUTO_SALES_US",15.811
2013-05-01,"AUTO_SALES_US",15.884
2013-06-01,"AUTO_SALES_US",16.149
2013-07-01,"AUTO_SALES_US",16.021
2013-08-01,"AUTO_SALES_US",15.827
2013-09-01,"AUTO_SALES_US",15.857
2013-10-01,"AUTO_SALES_US",15.727
2013-11-01,"AUTO_SALES_US",16.079
2013-12-01,"AUTO_SALES_US",15.835
2014-01-01,"AUTO_SALES_US",15.614
2014-02-01,"AUTO_SALES_US",15.993
2014-03-01,"AUTO_SALES_US",16.985
2014-04-01,"AUTO_SALES_US",16.695
2014-05-01,"AUTO_SALES_US",17.137
2014-06-01,"AUTO_SALES_US",17.516
2014-07-01,"AUTO_SALES_US",17.277
2014-08-01,"AUTO_SALES_US",17.239
2014-09-01,"AUTO_SALES_US",16.959
2014-10-01,"AUTO_SALES_US",16.756
2014-11-01,"AUTO_SALES_US",16.949
2014-12-01,"AUTO_SALES_US",17.178
2015-01-01,"AUTO_SALES_US",16.91
2015-02-01,"AUTO_SALES_US",16.891
2015-03-01,"AUTO_SALES_US",17.896
2015-04-01,"AUTO_SALES_US",17.693
2015-05-01,"AUTO_SALES_US",17.929
2015-06-01,"AUTO_SALES_US",17.889
2015-07-01,"AUTO_SALES_US",18.318
2015-08-01,"AUTO_SALES_US",18.391
2015-09-01,"AUTO_SALES_US",18.281
2015-10-01,"AUTO_SALES_US",18.27
2015-11-01,"AUTO_SALES_US",18.314
2015-12-01,"AUTO_SALES_US",17.503
2016-01-01,"AUTO_SALES_US",18.054
2016-02-01,"AUTO_SALES_US",18.096
2016-03-01,"AUTO_SALES_US",17.291
2016-04-01,"AUTO_SALES_US",17.669
2016-05-01,"AUTO_SALES_US",17.695
2016-06-01,"AUTO_SALES_US",17.735
2016-07-01,"AUTO_SALES_US",18.109
2016-08-01,"AUTO_SALES_US",17.927
2016-09-01,"AUTO_SALES_US",17.956
2016-10-01,"AUTO_SALES_US",17.954
2016-11-01,"AUTO_SALES_US",17.792
2016-12-01,"AUTO_SALES_US",18.277
2017-01-01,"AUTO_SALES_US",17.652
2017-02-01,"AUTO_SALES_US",17.699
2017-03-01,"AUTO_SALES_US",17.061
2017-04-01,"AUTO_SALES_US",17.166
2017-05-01,"AUTO_SALES_US",17.081
2017-06-01,"AUTO_SALES_US",17.13
2017-07-01,"AUTO_SALES_US",17.237
2017-08-01,"AUTO_SALES_US",17.051
2017-09-01,"AUTO_SALES_US",18.313
2017-10-01,"AUTO_SALES_US",18.482
2017-11-01,"AUTO_SALES_US",18.003
2017-12-01,"AUTO_SALES_US",17.887
2018-01-01,"AUTO_SALES_US",17.176
2018-02-01,"AUTO_SALES_US",17.447
2018-03-01,"AUTO_SALES_US",17.662
2018-04-01,"AUTO_SALES_US",17.584
2018-05-01,"AUTO_SALES_US",17.829
2018-06-01,"AUTO_SALES_US",17.743
2018-07-01,"AUTO_SALES_US",17.629
2018-08-01,"AUTO_SALES_US",17.564
2018-09-01,"AUTO_SALES_US",17.776
2018-10-01,"AUTO_SALES_US",17.991
2018-11-01,"AUTO_SALES_US",18.061
2018-12-01,"AUTO_SALES_US",18.077
2019-01-01,"AUTO_SALES_US",16.97
2019-02-01,"AUTO_SALES_US",16.962
2019-03-01,"AUTO_SALES_US",17.842
2019-04-01,"AUTO_SALES_US",16.968
2019-05-01,"AUTO_SALES_US",17.967
2019-06-01,"AUTO_SALES_US",17.781
2019-07-01,"AUTO_SALES_US",17.682
2019-08-01,"AUTO_SALES_US",17.882
2019-09-01,"AUTO_SALES_US",17.72
2019-10-01,"AUTO_SALES_US",17.049
2019-11-01,"AUTO_SALES_US",17.549
2019-12-01,"AUTO_SALES_US",17.491
2020-01-01,"AUTO_SALES_US",16.85
2020-02-01,"AUTO_SALES_US",17.13
2020-03-01,"AUTO_SALES_US",11.825
2020-04-01,"AUTO_SALES_US",8.919
2020-05-01,"AUTO_SALES_US",12.543
2020-06-01,"AUTO_SALES_US",13.532
2020-07-01,"AUTO_SALES_US",15.182
2020-08-01,"AUTO_SALES_US",16.09
2020-09-01,"AUTO_SALES_US",16.713
2020-10-01,"AUTO_SALES_US",16.564
2020-11-01,"AUTO_SALES_US",16.298
2020-12-01,"AUTO_SALES_US",16.906
2021-01-01,"AUTO_SALES_US",16.719
2021-02-01,"AUTO_SALES_US",16.146
2021-03-01,"AUTO_SALES_US",18.451
2021-04-01,"AUTO_SALES_US",18.574
2021-05-01,"AUTO_SALES_US",17.519
2021-06-01,"AUTO_SALES_US",16.056
2021-07-01,"AUTO_SALES_US",15.187
2021-08-01,"AUTO_SALES_US",13.874
2021-09-01,"AUTO_SALES_US",12.731
2021-10-01,"AUTO_SALES_US",13.156
2021-11-01,"AUTO_SALES_US",13.37
2021-12-01,"AUTO_SALES_US",13.123
2022-01-01,"AUTO_SALES_US",14.886
2022-02-01,"AUTO_SALES_US",14.199
2022-03-01,"AUTO_SALES_US",14.221
2022-04-01,"AUTO_SALES_US",14.615
2022-05-01,"AUTO_SALES_US",13.291
2022-06-01,"AUTO_SALES_US",13.821
2022-07-01,"AUTO_SALES_US",13.87
2022-08-01,"AUTO_SALES_US",14.184
2022-09-01,"AUTO_SALES_US",14.12
2022-10-01,"AUTO_SALES_US",15.099
2022-11-01,"AUTO_SALES_US",14.583
2022-12-01,"AUTO_SALES_US",13.874
2023-01-01,"AUTO_SALES_US",15.657
2023-02-01,"AUTO_SALES_US",15.47
2023-03-01,"AUTO_SALES_US",15.621
2023-04-01,"AUTO_SALES_US",16.41
2023-05-01,"AUTO_SALES_US",15.931
2023-06-01,"AUTO_SALES_US",16.606
